account_repo,deprecated_signal,evidence_url,stars,last_pushed,buyer_fit_note,risk_flag,recommended_channel,first_action
MohamedRaffik/dripdrop,matchPackagePatterns,https://github.com/MohamedRaffik/dripdrop/blob/12d8828d2cefcfea575cefd9a09a00dff002f26b/renovate.json,0,2026-04-29,maintenance-heavy OSS,normal OSS-fit; verify no maintainer policy first,public PR proof,"Offer one-file Renovate config migration diagnostic; no dependency bumps, no secrets, maintainer may close."
PabloSzx/graphql-ez,matchPackagePatterns,https://github.com/PabloSzx/graphql-ez/blob/443d940ce93fd7318df0d0029bc23e0300eec8cd/renovate.json,60,2026-04-29,devtool/framework,normal OSS-fit; verify no maintainer policy first,public PR proof,"Offer one-file Renovate config migration diagnostic; no dependency bumps, no secrets, maintainer may close."
RajendraP/demo_additionalBranchPrefixDemo-,matchPackagePatterns,https://github.com/RajendraP/demo_additionalBranchPrefixDemo-/blob/35b4476267e429dbb256468ed4762adf324330d4/renovate.json,0,2026-04-01,maintenance-heavy OSS,normal OSS-fit; verify no maintainer policy first,public PR proof,"Offer one-file Renovate config migration diagnostic; no dependency bumps, no secrets, maintainer may close."
Piory/Gynx,matchPackagePatterns,https://github.com/Piory/Gynx/blob/8150ecd823daa8ee19d0e000ea21a61ca6102cea/renovate.json,0,2025-04-25,maintenance-heavy OSS,normal OSS-fit; verify no maintainer policy first,public PR proof,"Offer one-file Renovate config migration diagnostic; no dependency bumps, no secrets, maintainer may close."
IhebZaidi/demo-renovate,matchPackagePatterns,https://github.com/IhebZaidi/demo-renovate/blob/92e5b76b6f25f636610024b2b21296aed01a0496/renovate.json,0,2026-04-27,maintenance-heavy OSS,normal OSS-fit; verify no maintainer policy first,public PR proof,"Offer one-file Renovate config migration diagnostic; no dependency bumps, no secrets, maintainer may close."
mikedevnull/k8up-to-kuma,matchPackagePatterns,https://github.com/mikedevnull/k8up-to-kuma/blob/30675f44c2abbc16f2a84256fe99322229c72017/renovate.json,0,2026-04-30,maintenance-heavy OSS,normal OSS-fit; verify no maintainer policy first,public PR proof,"Offer one-file Renovate config migration diagnostic; no dependency bumps, no secrets, maintainer may close."
emargee/homelab,matchPackagePatterns,https://github.com/emargee/homelab/blob/2083cd25192b84af2954a0ea86122ae76e18a47e/renovate.json,1,2026-04-29,maintenance-heavy OSS,normal OSS-fit; verify no maintainer policy first,public PR proof,"Offer one-file Renovate config migration diagnostic; no dependency bumps, no secrets, maintainer may close."
brettleehari/projms,matchPackagePatterns,https://github.com/brettleehari/projms/blob/8307acd10b91a385d7c1d990c7ca59a57e107b83/renovate.json,0,2025-03-11,maintenance-heavy OSS,normal OSS-fit; verify no maintainer policy first,public PR proof,"Offer one-file Renovate config migration diagnostic; no dependency bumps, no secrets, maintainer may close."
dromru/react-photoswipe-gallery,matchPackagePatterns,https://github.com/dromru/react-photoswipe-gallery/blob/d2525c4c7a23d36a84026c0bc73c454b47731d0f/renovate.json,576,2026-04-29,maintenance-heavy OSS,normal OSS-fit; verify no maintainer policy first,public PR proof,"Offer one-file Renovate config migration diagnostic; no dependency bumps, no secrets, maintainer may close."
chmey/caddy-cloudflare,matchPackagePatterns,https://github.com/chmey/caddy-cloudflare/blob/1417ef886093f06bf69816fe5cfb79dd8a08bb8f/renovate.json,0,2026-04-22,maintenance-heavy OSS,normal OSS-fit; verify no maintainer policy first,public PR proof,"Offer one-file Renovate config migration diagnostic; no dependency bumps, no secrets, maintainer may close."
PlanetHoster/planethoster-php,matchPackagePatterns,https://github.com/PlanetHoster/planethoster-php/blob/a029a7c79fd39578b7d5ce359146703ceb39ebf3/renovate.json,4,2026-04-27,devtool/framework,normal OSS-fit; verify no maintainer policy first,public PR proof,"Offer one-file Renovate config migration diagnostic; no dependency bumps, no secrets, maintainer may close."
opencloud-eu/container-clamav-icap,matchPackagePatterns,https://github.com/opencloud-eu/container-clamav-icap/blob/33d19e197dee769a06a29c6404386ad120708d47/renovate.json,2,2026-01-10,maintenance-heavy OSS,normal OSS-fit; verify no maintainer policy first,public PR proof,"Offer one-file Renovate config migration diagnostic; no dependency bumps, no secrets, maintainer may close."
Ruffpuff1/Ruffpuff1,matchPackagePatterns,https://github.com/Ruffpuff1/Ruffpuff1/blob/d2c97a0415bd02d0d50799055826b109910040a0/renovate.json,0,2025-05-18,maintenance-heavy OSS,normal OSS-fit; verify no maintainer policy first,public PR proof,"Offer one-file Renovate config migration diagnostic; no dependency bumps, no secrets, maintainer may close."
g3ida/WithFlyingColors,matchPackagePatterns,https://github.com/g3ida/WithFlyingColors/blob/46d98360bcc89276ba10b32a84824e13fb54cbfc/renovate.json,0,2026-04-28,maintenance-heavy OSS,normal OSS-fit; verify no maintainer policy first,public PR proof,"Offer one-file Renovate config migration diagnostic; no dependency bumps, no secrets, maintainer may close."
Talvus/Runetika,matchPackagePatterns,https://github.com/Talvus/Runetika/blob/346fd78eef414c4aac98313ec5abc6c866968f91/renovate.json,1,2026-04-11,maintenance-heavy OSS,normal OSS-fit; verify no maintainer policy first,public PR proof,"Offer one-file Renovate config migration diagnostic; no dependency bumps, no secrets, maintainer may close."
